k,z,p_path_count,smooth_bell
0,-22.360679774997894,3.054936363499605e-151,9.52433326829295e-111
1,-22.271237055897906,1.5274681817498023e-148,7.009489174976259e-110
2,-22.181794336797914,3.811033113465757e-146,5.117570089462426e-109
3,-22.092351617697922,6.326314968353156e-144,3.706524486652342e-108
4,-22.00290889859793,7.860446348178797e-142,2.6631497757930433e-107
5,-21.913466179497938,7.797562777393366e-140,1.8982349021423478e-106
6,-21.824023460397946,6.432989291349527e-138,1.342239332105769e-105
7,-21.734580741297954,4.539852442752381e-136,9.415331417692084e-105
8,-21.645138022197962,2.7976840678461547e-134,6.55189466417381e-104
9,-21.55569530309797,1.529400623755898e-132,4.522971442027589e-103
10,-21.46625258399798,7.509357062641459e-131,3.0974651502720864e-102
11,-21.37680986489799,3.3450772369948315e-129,2.104333922179339e-101
12,-21.287367145797997,1.3631189740753938e-127,1.4182360733131918e-100
13,-21.197924426698005,5.116938918067632e-126,9.482176680404697e-100
14,-21.108481707598013,1.7799637522135264e-124,6.2891681008858766e-99
15,-21.01903898849802,5.767082557171825e-123,4.138128827203499e-98
16,-20.92959626939803,1.7481469001427096e-121,2.7010987064889985e-97
17,-20.840153550298037,4.977077056876891e-120,1.7490512981109946e-96
18,-20.75071083119805,1.3355156769286324e-118,1.1235445138790651e-95
19,-20.661268112098057,3.387992401471583e-117,7.159845715161075e-95
20,-20.571825392998065,8.148121725539157e-116,4.5262932597811873e-94
21,-20.482382673898073,1.8624278229803788e-114,2.8386206472209828e-93
22,-20.39293995479808,4.055013305489098e-113,1.766028347025746e-92
23,-20.30349723569809,8.427375478364298e-112,1.0899676976324968e-91
24,-20.214054516598097,1.6749408763249044e-110,6.673524029116638e-91
25,-20.124611797498105,3.189087428522618e-109,4.053428100314262e-90
26,-20.035169078398116,5.826217417493244e-108,2.44239196983114e-89
27,-19.945726359298124,1.0228248355154806e-106,1.459936266405061e-88
28,-19.856283640198132,1.7278433828529369e-105,8.657212440076054e-88
29,-19.76684092109814,2.812214057608918e-104,5.092697692178319e-87
30,-19.677398201998148,4.4151760704460014e-103,2.9719627574374833e-86
31,-19.587955482898156,6.69397662293426e-102,1.7205388086941188e-85
32,-19.498512763798164,9.810859487988024e-101,9.881234987057417e-85
33,-19.409070044698172,1.3913582546601198e-99,5.629678916138683e-84
34,-19.319627325598184,1.9110714850772822e-98,3.1818644074777416e-83
35,-19.23018460649819,2.5444551772743243e-97,1.7840431545865512e-82
36,-19.1407418873982,3.286587937312669e-96,9.92326721732437e-82
37,-19.051299168298208,4.121558926792104e-95,5.475574111000908e-81
38,-18.961856449198216,5.021794166065116e-94,2.9973004623122914e-80
39,-18.872413730098224,5.948894627492522e-93,1.6276332156321686e-79
40,-18.78297101099823,6.856101058185132e-92,8.768159705911203e-79
41,-18.69352829189824,7.69221094332966e-91,4.68582433262307e-78
42,-18.60408557279825,8.4064876737817e-90,2.4842151103358587e-77
43,-18.51464285369826,8.953886871144229e-89,1.3065259469728187e-76
44,-18.425200134598267,9.29983250025662e-88,6.816673973257543e-76
45,-18.335757415498275,9.423830266926708e-87,3.528195578524063e-75
46,-18.246314696398283,9.321397329242722e-86,1.8115837808244455e-74
47,-18.15687197729829,9.00407316484297e-85,9.227622946013362e-74
48,-18.0674292581983,8.497594049320553e-84,4.6628012153402885e-73
49,-17.977986539098307,7.838596959781408e-83,2.3373815187154477e-72
50,-17.88854381999832,7.07041445772283e-82,1.1623527696804733e-71
51,-17.799101100898326,6.238600992108379e-81,5.734188269004976e-71
52,-17.709658381798334,5.386792010493582e-80,2.8062837740364022e-70
53,-17.620215662698342,4.553363812643631e-79,1.3624383716739518e-69
54,-17.53077294359835,3.7691733782438945e-78,6.561872568473213e-69
55,-17.44133022449836,3.0564569576305036e-77,3.1351935848732928e-68
56,-17.351887505398366,2.4287916895456682e-76,1.4860265735578348e-67
57,-17.262444786298374,1.8919008950145203e-75,6.987381145481017e-67
58,-17.173002067198382,1.4450208560197112e-74,3.2593270110896356e-66
59,-17.083559348098394,1.0825410480690041e-73,1.5082282880203388e-65
60,-16.994116628998402,7.956676703307179e-73,6.923598457332319e-65
61,-16.90467390989841,5.739242212221573e-72,3.1529879215113364e-64
62,-16.815231190798418,4.0637537599439846e-71,1.4244210589803824e-63
63,-16.725788471698426,2.8252764235801032e-70,6.383812291591752e-63
64,-16.636345752598434,1.9291340579757893e-69,2.838229277196453e-62
65,-16.54690303349844,1.2940037681191449e-68,1.2518159671519758e-61
66,-16.45746031439845,8.52866119896709e-68,5.477206842698015e-61
67,-16.36801759529846,5.524535761718981e-67,2.3774064765754254e-60
68,-16.27857487619847,3.517829389447528e-66,1.023701607055964e-59
69,-16.189132157098477,2.2024670960019306e-65,4.372894228738672e-59
70,-16.099689437998485,1.3560904548240458e-64,1.8530630855242155e-58
71,-16.010246718898493,8.212942191187883e-64,7.789993237629995e-58
72,-15.920803999798501,4.893544722249447e-63,3.248699943097391e-57
73,-15.831361280698511,2.8690919741407715e-62,1.3440262938831393e-56
74,-15.741918561598519,1.655543612105553e-61,5.516092922655013e-56
75,-15.652475842498527,9.403487716759543e-61,2.24585144661299e-55
76,-15.563033123398535,5.258529315293165e-60,9.071019966961237e-55
77,-15.473590404298545,2.895605752836756e-59,3.634602021411069e-54
78,-15.384147685198553,1.5703092736537793e-58,1.4447185490202492e-53
79,-15.29470496609856,8.388234347872086e-58,5.696856473472021e-53
80,-15.205262246998569,4.4143083255676857e-57,2.2285016054790532e-52
81,-15.115819527898578,2.2889006132573184e-56,8.648011705055558e-52
82,-15.026376808798586,1.1695723865302639e-55,3.329240969223209e-51
83,-14.936934089698594,5.8901356333692805e-55,1.2714516101311464e-50
84,-14.847491370598602,2.924031617994036e-54,4.817038151746786e-50
85,-14.758048651498612,1.4310554742182574e-53,1.8104476856863588e-49
86,-14.66860593239862,6.905674672099731e-53,6.75021364066476e-49
87,-14.579163213298628,3.286148637068148e-52,2.4967479419729683e-48
88,-14.489720494198636,1.5422493035331195e-51,9.161308903366592e-48
89,-14.400277775098646,7.139401270288148e-51,3.334770858343935e-47
90,-14.310835055998654,3.2603265800982545e-50,1.2042041301988272e-46
91,-14.221392336898662,1.4689383492750377e-49,4.313798661273402e-46
92,-14.13194961779867,6.530388965798809e-49,1.5330110115579674e-45
93,-14.04250689869868,2.86494483660851e-48,5.404509960514073e-45
94,-13.953064179598687,1.2404601579783655e-47,1.890135821812187e-44
95,-13.863621460498695,5.30133499093912e-47,6.557757433639064e-44
96,-13.774178741398703,2.236500699302441e-46,2.2570611633907934e-43
97,-13.684736022298713,9.314910129053466e-46,7.706495902327944e-43
98,-13.595293303198721,3.830519165314843e-45,2.610334838956826e-42
99,-13.505850584098729,1.5554229337945122e-44,8.771242775209787e-42
100,-13.416407864998737,6.237245964515994e-44,2.923827106104387e-41
101,-13.326965145898747,2.4701964215904926e-43,9.6686956188565e-41
102,-13.237522426798755,9.662827178574574e-43,3.171828761453426e-40
103,-13.148079707698763,3.733791472886098e-42,1.0322317697257597e-39
104,-13.05863698859877,1.4253030910920969e-41,3.332501505761306e-39
105,-12.969194269498779,5.375428800690194e-41,1.0673064432883635e-38
106,-12.879751550398788,2.003107902143987e-40,3.391044994712531e-38
107,-12.790308831298796,7.375930032193747e-40,1.0688176515098943e-37
108,-12.700866112198804,2.6840189839371695e-39,3.3419452208937005e-37
109,-12.611423393098812,9.652618731223581e-39,1.0366226179842403e-36
110,-12.521980673998822,3.4310672035531094e-38,3.1898310274098206e-36
111,-12.43253795489883,1.205510098545687e-37,9.737339670782161e-36
112,-12.343095235798838,4.186994895841717e-37,2.948754426655146e-35
113,-12.253652516698846,1.437658424412908e-36,8.85854786151911e-35
114,-12.164209797598856,4.8804720197175035e-36,2.6400497454171376e-34
115,-12.074767078498864,1.638141043139962e-35,7.805259176932836e-34
116,-11.985324359398872,5.436933634559357e-35,2.2892234767703642e-33
117,-11.89588164029888,1.7844295005733275e-34,6.660620623668519e-33
118,-11.80643892119889,5.791834734911732e-34,1.9225022138676436e-32
119,-11.716996202098898,1.8592276207867913e-33,5.504839277149679e-32
120,-11.627553482998906,5.903047695998063e-33,1.563680724533188e-31
121,-11.538110763898914,1.8538496896522842e-32,4.406331487214276e-31
122,-11.448668044798923,5.759090429329637e-32,1.231776440442485e-30
123,-11.359225325698931,1.7698668148671567e-31,3.4159559750097155e-30
124,-11.26978260659894,5.380966041975145e-31,9.397628666840035e-30
125,-11.180339887498947,1.618594585426124e-30,2.5647789484602796e-29
126,-11.090897168398957,4.817245789958702e-30,6.943960541619939e-29
127,-11.001454449298965,1.4186219885390193e-29,1.8650487683019462e-28
128,-10.912011730198973,4.1339531384769856e-29,4.969340832204912e-28
129,-10.822569011098981,1.1921167190026656e-28,1.313508904036476e-27
130,-10.73312629199899,3.4021177134614534e-28,3.44423599929286e-27
131,-10.643683572898999,9.60903476321174e-28,8.959389683476299e-27
132,-10.554240853799007,2.6861619906250997e-27,2.3120093987135124e-26
133,-10.464798134699015,7.43238806428599e-27,5.918701099709252e-26
134,-10.375355415599024,2.0355868802932527e-26,1.5031034283319137e-25
135,-10.285912696499032,5.51870220879504e-26,3.7868400938006507e-25
136,-10.19646997739904,1.4811222839780807e-25,9.464348246772335e-25
137,-10.107027258299048,3.9352446085257035e-25,2.3465515619684177e-24
138,-10.017584539199058,1.035140429633935e-24,5.771585522307629e-24
139,-9.928141820099066,2.6958333491185935e-24,1.408269628627423e-23
140,-9.838699100999074,6.95139885022723e-24,3.4088048193773595e-23
141,-9.749256381899082,1.7748252383558885e-23,8.185479050835579e-23
142,-9.659813662799092,4.487058173026507e-23,1.949897182013911e-22
143,-9.5703709436991,1.123333444715727e-22,4.607920377302999e-22
144,-9.480928224599108,2.784930831691073e-22,1.0802489793686533e-21
145,-9.391485505499116,6.837485352289806e-22,2.5122821195029863e-21
146,-9.302042786399126,1.662539246618412e-21,5.796136361549854e-21
147,-9.212600067299133,4.0036659408361754e-21,1.3265829929852789e-20
148,-9.123157348199141,9.54928430483223e-21,3.012006470046351e-20
149,-9.03371462909915,2.255938305571104e-20,6.784268377197193e-20
150,-8.94427190999916,5.2788956350363835e-20,1.5159182561651832e-19
151,-8.854829190899167,1.223585080968698e-19,3.360270124805593e-19
152,-8.765386471799175,2.8094157451189185e-19,7.389213968030052e-19
153,-8.675943752699183,6.390043655564599e-19,1.6119365335089487e-18
154,-8.586501033599191,1.4398345120005948e-18,3.4883759080287686e-18
155,-8.497058314499201,3.214082200981973e-18,7.489007449834495e-18
156,-8.407615595399209,7.108066406017825e-18,1.594964021681598e-17
157,-8.318172876299217,1.5574362061593196e-17,3.369792531253679e-17
158,-8.228730157199225,3.3810165741306745e-17,7.062867842732512e-17
159,-8.139287438099235,7.272375272658432e-17,1.4685361466800545e-16
160,-8.049844718999243,1.5499249799853285e-16,3.0291016367826878e-16
161,-7.960401999899251,3.273133498105662e-16,6.198244371400794e-16
162,-7.870959280799259,6.84933491270259e-16,1.2581985718193378e-15
163,-7.781516561699267,1.420291534045077e-15,2.5337007805366944e-15
164,-7.692073842599276,2.9185258961779934e-15,5.061591669647466e-15
165,-7.602631123499284,5.943180006762459e-15,1.0031006973087372e-14
166,-7.513188404399293,1.1993766881117011e-14,1.972093955970297e-14
167,-7.423745685299301,2.3987533762234022e-14,3.8462394320838186e-14
168,-7.33430296619931,4.75467187072853e-14,7.44167456947057e-14
169,-7.244860247099318,9.340538822969656e-14,1.4283369665682306e-13
170,-7.155417527999327,1.8186578531782093e-13,2.7196707007191855e-13
171,-7.065974808899335,3.509690593852685e-13,5.137213475458427e-13
172,-6.976532089799344,6.713303519636822e-13,9.626414275239383e-13
173,-6.887089370699352,1.2728113031450159e-12,1.789481143867244e-12
174,-6.7976466515993605,2.392007449013909e-12,3.300010710498342e-12
175,-6.7082039324993685,4.455968162163053e-12,6.03711177161288e-12
176,-6.618761213399377,8.228350299448821e-12,1.0956421405137395e-11
177,-6.529318494299385,1.5062064954923265e-11,1.9725766278680962e-11
178,-6.439875775199394,2.733172460921469e-11,3.523097664971787e-11
179,-6.350433056099402,4.916656605679961e-11,6.242249542858227e-11
180,-6.260990336999411,8.768037613462597e-11,1.0971934694886786e-10
181,-6.171547617899419,1.5501502963027796e-10,1.9131584749432877e-10
182,-6.082104898799428,2.7170216731900367e-10,3.3093623525096166e-10
183,-5.992662179699436,4.721381923903999e-10,5.678888506362744e-10
184,-5.903219460599445,8.13411994498678e-10,9.667362563788e-10
185,-5.813776741499453,1.3893956230355797e-09,1.6325944476274032e-09
186,-5.724334022399462,2.3530087164312236e-09,2.7351066649374296e-09
187,-5.63489130329947,3.951041374114461e-09,4.545648651693535e-09
