horizon,k,p_convolution_exact,p_convolution_empirical,p_path_count,abs_diff_exact,abs_diff_empirical
5,0,0.03125,0.030323682702257,0.03125,0.0,0.0009263172977429998
5,1,0.15625,0.153448816893715,0.15625,0.0,0.0028011831062849935
5,2,0.3125,0.31060263540257,0.3125,0.0,0.0018973645974300068
5,3,0.3125,0.31435236540743006,0.3125,0.0,0.0018523654074300566
5,4,0.15625,0.15907368189128498,0.15625,0.0,0.002823681891284985
5,5,0.03125,0.032198817702743,0.03125,0.0,0.0009488177027430003
10,0,0.0009765625,0.0009195257326271604,0.0009765625,0.0,5.703676737283964e-05
10,1,0.009765625,0.009306266469043494,0.009765625,0.0,0.0004593585309565062
10,2,0.0439453125,0.04238377093094558,0.0439453125,0.0,0.0015615415690544213
10,3,0.1171875,0.11438785662382629,0.1171875,0.0,0.0027996433761737077
10,4,0.205078125,0.20259539394994586,0.205078125,0.0,0.0024827310500541433
10,5,0.24609375,0.2460494563142602,0.24609375,0.0,4.429368573979908e-05
10,6,0.205078125,0.20751656023821746,0.205078125,0.0,0.0024384352382174623
10,7,0.1171875,0.12001245162382682,0.1171875,0.0,0.0028249516238268157
10,8,0.0439453125,0.04554798528680953,0.0439453125,0.0,0.0016026727868095267
10,9,0.009765625,0.010243968969043232,0.009765625,0.0,0.00047834396904323194
10,10,0.0009765625,0.001036763861454476,0.0009765625,0.0,6.02013614544759e-05
50,0,8.881784197001252e-16,6.573844647613645e-16,8.881784197001252e-16,0.0,2.3079395493876075e-16
50,1,4.440892098500626e-14,3.326603478621392e-14,4.440892098500626e-14,0.0,1.1142886198792344e-14
50,2,1.0880185641326534e-12,8.248571019877407e-13,1.0880185641326534e-12,0.0,2.6316146214491273e-13
50,3,1.7408297026122455e-11,1.3357042166594241e-11,1.7408297026122455e-11,0.0,4.051254859528213e-12
50,4,2.0454749005693884e-10,1.588399566702487e-10,2.0454749005693884e-10,0.0,4.570753338669014e-11
50,5,1.8818369085238373e-09,1.478969383274131e-09,1.8818369085238373e-09,0.0,4.028675252497063e-10
50,6,1.411377681392878e-08,1.1226181083303138e-08,1.411377681392878e-08,0.0,2.887595730625642e-09
50,7,8.871516854469519e-08,7.141645292775656e-08,8.871516854469519e-08,0.0,1.729871561693863e-08
50,8,4.768440309277366e-07,3.8849760069779834e-07,4.768440309277366e-07,0.0,8.83464302299383e-08
50,9,2.2252721443294377e-06,1.8348759920280996e-06,2.2252721443294377e-06,0.0,3.90396152301338e-07
50,10,9.123615791750694e-06,7.613812391065494e-06,9.123615791750694e-06,0.0,1.5098034006852005e-06
50,11,3.317678469727525e-05,2.802083506644187e-05,3.317678469727525e-05,0.0,5.155949630833381e-06
50,12,0.00010782455026614457,9.216712298765764e-05,0.00010782455026614457,0.0,1.5657427278486927e-05
50,13,0.0003151794546241149,0.0002726640440777106,0.0003151794546241149,0.0,4.2515410546404295e-05
