horizon,k,p_convolution_exact,p_convolution_empirical,abs_diff
1,1,0.16666666666666666,0.1689,0.002233333333333337
1,2,0.16666666666666666,0.1641,0.0025666666666666615
1,3,0.16666666666666666,0.164,0.0026666666666666505
1,4,0.16666666666666666,0.1687,0.0020333333333333314
1,5,0.16666666666666666,0.1652,0.001466666666666644
1,6,0.16666666666666666,0.1691,0.002433333333333343
2,2,0.027777777777777776,0.028527209999999997,0.0007494322222222211
2,3,0.05555555555555555,0.05543298,0.00012257555555555272
2,4,0.08333333333333333,0.08232801000000001,0.0010053233333333217
2,5,0.1111111111111111,0.11081165999999999,0.00029945111111111256
2,6,0.13888888888888887,0.1380679,0.0008209888888888739
2,7,0.16666666666666669,0.16667421999999998,7.553333333298884e-06
2,8,0.13888888888888887,0.13814391,0.0007449788888888587
2,9,0.1111111111111111,0.11120328,9.216888888889663e-05
2,10,0.08333333333333333,0.08434538,0.0010120466666666689
2,11,0.05555555555555555,0.055870640000000006,0.00031508444444445366
2,12,0.027777777777777776,0.028594810000000002,0.0008170322222222255
5,5,0.00012860082304526747,0.00013745110888387446,8.850285838606987e-06
5,6,0.0006430041152263373,0.0006677243033701539,2.47201881438166e-05
5,7,0.001929012345679012,0.0019648136509820106,3.580130530299861e-05
5,8,0.004501028806584362,0.004540475356588585,3.9446550004222994e-05
5,9,0.009002057613168723,0.009027811198301839,2.575358513311546e-05
5,10,0.0162037037037037,0.01619880396826346,4.899735440239139e-06
5,11,0.02636316872427983,0.026275475346718452,8.76933775613778e-05
5,12,0.039223251028806576,0.039006465122621986,0.00021678590618458976
5,13,0.05401234567901233,0.053667820640612415,0.0003445250383999135
5,14,0.06944444444444442,0.06898484542959389,0.00045959901485052856
5,15,0.08371913580246912,0.08319644308003764,0.0005226927224314809
5,16,0.09452160493827158,0.09398671711964932,0.000534887818622265
5,17,0.1003086419753086,0.09986486335406311,0.0004437786212454914
5,18,0.1003086419753086,0.10005271881668874,0.0002559231586198585
5,19,0.09452160493827158,0.09447825172637615,4.3353211895427735e-05
5,20,0.0837191358024691,0.08389499451233692,0.00017585870986781826
5,21,0.06944444444444442,0.06978756872383464,0.0003431242793902195
5,22,0.05401234567901234,0.05447182057381161,0.0004594748947992708
5,23,0.03922325102880658,0.03971348708499629,0.0004902360561897107
5,24,0.02636316872427983,0.02680149158410561,0.0004383228598257814
5,25,0.0162037037037037,0.01655578065441925,0.0003520769507155512
5,26,0.009002057613168721,0.009246351361604635,0.00024429374843591353
5,27,0.004501028806584362,0.004654843661096928,0.00015381485451256612
5,28,0.0019290123456790122,0.002009325011585159,8.031266590614655e-05
5,29,0.0006430041152263373,0.0006753897692812187,3.2385654054881336e-05
5,30,0.00012860082304526747,0.00013826684017609453,9.666017130827056e-06
50,50,1.2371930760744252e-39,2.4070354061417457e-39,1.1698423300673205e-39
50,51,6.185965380372126e-38,1.169314713285555e-37,5.507181752483425e-38
50,52,1.5774211719948922e-36,2.900265389184449e-36,1.3228442171895569e-36
50,53,2.73419669812448e-35,4.895247644951827e-35,2.1610509468273475e-35
50,54,3.6228106250149364e-34,6.323084420363336e-34,2.7002737953483996e-34
50,55,3.9126354750161306e-33,6.664461839195777e-33,2.751826364179646e-33
50,56,3.5865763327994057e-32,5.968279076060579e-32,2.3817027432611728e-32
50,57,2.8692350851849268e-31,4.669327396394556e-31,1.8000923112096296e-31
50,58,2.0442731646373282e-30,3.256681764520323e-30,1.2124085998829947e-30
50,59,1.3173346020580253e-29,2.0563261904770698e-29,7.389915884190445e-30
50,60,7.771269334855788e-29,1.1897080884262997e-28,4.12581154940721e-29
50,61,4.237905904172471e-28,6.368349517030402e-28,2.130443612857931e-28
50,62,2.1534700063937517e-27,3.179053135995571e-27,1.0255831296018194e-27
50,63,1.0264601773436056e-26,1.489781953899971e-26,4.633217765563653e-27
50,64,4.6153050455354814e-26,6.590577349373529e-26,1.9752723038380475e-26
50,65,1.9669709997043748e-25,2.765460362139332e-25,7.984893624349571e-26
50,66,7.978718495873947e-25,1.1051900108495613e-24,3.073181612621666e-25
50,67,3.0915128022671246e-24,4.2216456555584536e-24,1.130132853291329e-24
50,68,1.1478469130064759e-23,1.5461788151233078e-23,3.9833190211683194e-24
50,69,4.095276242089206e-23,5.444630212692924e-23,1.349353970603718e-23
50,70,1.4074867726158126e-22,1.8478660767551628e-22,4.403793041393502e-23
50,71,4.670114692726941e-22,6.057789164406961e-22,1.38767447168002e-22
50,72,1.498974660525978e-21,1.9219825969804175e-21,4.2300793645443937e-22
50,73,4.66252084554923e-21,5.912103030715222e-21,1.2495821851659919e-21
50,74,1.4076975663055988e-20,1.7659734620133283e-20,3.582758957077295e-21
50,75,4.13140591065619e-20,5.129848594976844e-20,9.98442684320654e-21
50,76,1.18023265056851e-19,1.4510278288772649e-19,2.7079517830875484e-20
50,77,3.285868200060651e-19,4.001484420825465e-19,7.156162207648136e-20
50,78,8.925505646894372e-19,1.0770119660570013e-18,1.844614013675641e-19
50,79,2.367903172212375e-18,2.832142276808272e-18,4.642391045958968e-19
50,80,6.141249918457129e-18,7.283018077973561e-18,1.1417681595164324e-18
50,81,1.5584516894261822e-17,1.8330962728078675e-17,2.746445833816853e-18
50,82,3.872822365964396e-17,4.519441854169824e-17,6.4661948820542796e-18
50,83,9.431658635157223e-17,1.092277775811559e-16,1.4911191229583663e-17
50,84,2.2525816983665646e-16,2.5895883653620424e-16,3.3700666699547783e-17
50,85,5.279465923420184e-16,6.026398839825467e-16,7.469329164052829e-17
50,86,1.2150174853374185e-15,1.377450824988743e-15,1.6243333965132442e-16
50,87,2.74730658585195e-15,3.094069988284254e-15,3.467634024323042e-16
50,88,6.1065662691625895e-15,6.833594922314498e-15,7.270286531519085e-16
50,89,1.3349693740724114e-14,1.4847336438398714e-14,1.4976426976746005e-15
50,90,2.8716769224654665e-14,3.1749017528415534e-14,3.032248303760869e-15
50,91,6.081119873007324e-14,6.684743612106606e-14,6.036237390992819e-15
50,92,1.2682292823002668e-13,1.3864087240115346e-13,1.1817944171126787e-14
50,93,2.6058561644059533e-13,2.833473137096248e-13,2.276169726902945e-14
