horizon,k,p_path_count,p_empirical,abs_diff
1,1,0.16666666666666666,0.16775,0.0010833333333333528
1,2,0.16666666666666666,0.16444,0.0022266666666666546
1,3,0.16666666666666666,0.168335,0.001668333333333355
1,4,0.16666666666666666,0.166355,0.00031166666666665455
1,5,0.16666666666666666,0.16698,0.00031333333333333213
1,6,0.16666666666666666,0.16614,0.0005266666666666475
2,2,0.027777777777777776,0.02827,0.0004922222222222238
2,3,0.05555555555555555,0.0558,0.0002444444444444499
2,4,0.08333333333333333,0.082425,0.0009083333333333304
2,5,0.1111111111111111,0.11101,0.00010111111111110738
2,6,0.13888888888888887,0.139105,0.00021611111111113912
2,7,0.16666666666666669,0.166895,0.00022833333333330263
2,8,0.13888888888888887,0.138795,9.38888888888656e-05
2,9,0.1111111111111111,0.111385,0.00027388888888889296
2,10,0.08333333333333333,0.082365,0.0009683333333333349
2,11,0.05555555555555555,0.055905,0.00034944444444445083
2,12,0.027777777777777776,0.028045,0.00026722222222222425
5,5,0.00012860082304526747,0.000115,1.360082304526747e-05
5,6,0.0006430041152263373,0.00067,2.6995884773662682e-05
5,7,0.001929012345679012,0.00205,0.00012098765432098815
5,8,0.004501028806584362,0.004305,0.0001960288065843618
5,9,0.009002057613168723,0.008945,5.7057613168723376e-05
5,10,0.0162037037037037,0.01649,0.00028629629629630185
5,11,0.02636316872427983,0.02662,0.0002568312757201714
5,12,0.039223251028806576,0.03887,0.00035325102880657405
5,13,0.05401234567901233,0.053305,0.0007073456790123306
5,14,0.06944444444444442,0.069295,0.00014944444444442428
5,15,0.08371913580246912,0.08292,0.0007991358024691253
5,16,0.09452160493827158,0.09416,0.0003616049382715869
5,17,0.1003086419753086,0.099715,0.0005936419753086036
5,18,0.1003086419753086,0.1007,0.00039135802469139613
5,19,0.09452160493827158,0.09444,8.160493827158444e-05
5,20,0.0837191358024691,0.08438,0.0006608641975308915
5,21,0.06944444444444442,0.069775,0.0003305555555555839
5,22,0.05401234567901234,0.05414,0.00012765432098765794
5,23,0.03922325102880658,0.03932,9.674897119341802e-05
5,24,0.02636316872427983,0.026695,0.0003318312757201701
5,25,0.0162037037037037,0.01682,0.0006162962962963023
5,26,0.009002057613168721,0.008825,0.00017705761316872196
5,27,0.004501028806584362,0.00461,0.00010897119341563878
5,28,0.0019290123456790122,0.002075,0.00014598765432098778
5,29,0.0006430041152263373,0.00064,3.0041152263372882e-06
5,30,0.00012860082304526747,0.00012,8.60082304526747e-06
50,50,1.2371930760744252e-39,0.0,1.2371930760744252e-39
50,51,6.185965380372126e-38,0.0,6.185965380372126e-38
50,52,1.5774211719948922e-36,0.0,1.5774211719948922e-36
50,53,2.73419669812448e-35,0.0,2.73419669812448e-35
50,54,3.6228106250149364e-34,0.0,3.6228106250149364e-34
50,55,3.9126354750161306e-33,0.0,3.9126354750161306e-33
50,56,3.5865763327994057e-32,0.0,3.5865763327994057e-32
50,57,2.8692350851849268e-31,0.0,2.8692350851849268e-31
50,58,2.0442731646373282e-30,0.0,2.0442731646373282e-30
50,59,1.3173346020580253e-29,0.0,1.3173346020580253e-29
50,60,7.771269334855788e-29,0.0,7.771269334855788e-29
50,61,4.237905904172471e-28,0.0,4.237905904172471e-28
50,62,2.1534700063937517e-27,0.0,2.1534700063937517e-27
50,63,1.0264601773436056e-26,0.0,1.0264601773436056e-26
50,64,4.6153050455354814e-26,0.0,4.6153050455354814e-26
50,65,1.9669709997043748e-25,0.0,1.9669709997043748e-25
50,66,7.978718495873947e-25,0.0,7.978718495873947e-25
50,67,3.0915128022671246e-24,0.0,3.0915128022671246e-24
50,68,1.1478469130064759e-23,0.0,1.1478469130064759e-23
50,69,4.095276242089206e-23,0.0,4.095276242089206e-23
50,70,1.4074867726158126e-22,0.0,1.4074867726158126e-22
50,71,4.670114692726941e-22,0.0,4.670114692726941e-22
50,72,1.498974660525978e-21,0.0,1.498974660525978e-21
50,73,4.66252084554923e-21,0.0,4.66252084554923e-21
50,74,1.4076975663055988e-20,0.0,1.4076975663055988e-20
50,75,4.13140591065619e-20,0.0,4.13140591065619e-20
50,76,1.18023265056851e-19,0.0,1.18023265056851e-19
50,77,3.285868200060651e-19,0.0,3.285868200060651e-19
50,78,8.925505646894372e-19,0.0,8.925505646894372e-19
50,79,2.367903172212375e-18,0.0,2.367903172212375e-18
50,80,6.141249918457129e-18,0.0,6.141249918457129e-18
50,81,1.5584516894261822e-17,0.0,1.5584516894261822e-17
50,82,3.872822365964396e-17,0.0,3.872822365964396e-17
50,83,9.431658635157223e-17,0.0,9.431658635157223e-17
50,84,2.2525816983665646e-16,0.0,2.2525816983665646e-16
50,85,5.279465923420184e-16,0.0,5.279465923420184e-16
50,86,1.2150174853374185e-15,0.0,1.2150174853374185e-15
50,87,2.74730658585195e-15,0.0,2.74730658585195e-15
50,88,6.1065662691625895e-15,0.0,6.1065662691625895e-15
50,89,1.3349693740724114e-14,0.0,1.3349693740724114e-14
50,90,2.8716769224654665e-14,0.0,2.8716769224654665e-14
50,91,6.081119873007324e-14,0.0,6.081119873007324e-14
50,92,1.2682292823002668e-13,0.0,1.2682292823002668e-13
50,93,2.6058561644059533e-13,0.0,2.6058561644059533e-13
50,94,5.277208697554827e-13,0.0,5.277208697554827e-13
50,95,1.0536907497721963e-12,0.0,1.0536907497721963e-12
50,96,2.0750227523748094e-12,0.0,2.0750227523748094e-12
50,97,4.0315447934908555e-12,0.0,4.0315447934908555e-12
50,98,7.730188958746905e-12,0.0,7.730188958746905e-12
50,99,1.463198333885325e-11,0.0,1.463198333885325e-11
50,100,2.7348220609845422e-11,0.0,2.7348220609845422e-11
50,101,5.048708664631886e-11,0.0,5.048708664631886e-11
50,102,9.207974184381351e-11,0.0,9.207974184381351e-11
50,103,1.6595202786415573e-10,0.0,1.6595202786415573e-10
50,104,2.9561953417560115e-10,0.0,2.9561953417560115e-10
50,105,5.206054891977679e-10,0.0,5.206054891977679e-10
50,106,9.065633904359602e-10,0.0,9.065633904359602e-10
50,107,1.5612996304078503e-09,0.0,1.5612996304078503e-09
50,108,2.659831288258477e-09,0.0,2.659831288258477e-09
50,109,4.483108764992273e-09,0.0,4.483108764992273e-09
50,110,7.47714999110331e-09,0.0,7.47714999110331e-09
50,111,1.2342288243710306e-08,0.0,1.2342288243710306e-08
50,112,2.016629997062959e-08,0.0,2.016629997062959e-08
50,113,3.2620683877237824e-08,0.0,3.2620683877237824e-08
50,114,5.224670210996933e-08,0.0,5.224670210996933e-08
50,115,8.286742208490761e-08,0.0,8.286742208490761e-08
50,116,1.3017441387898642e-07,0.0,1.3017441387898642e-07
50,117,2.0255348683619835e-07,5e-06,4.797446513163802e-06
50,118,3.122333977189208e-07,0.0,3.122333977189208e-07
50,119,4.768652644406617e-07,0.0,4.768652644406617e-07
50,120,7.216687522218491e-07,0.0,7.216687522218491e-07
50,121,1.0823139812552523e-06,0.0,1.0823139812552523e-06
50,122,1.6087451662487584e-06,0.0,1.6087451662487584e-06
50,123,2.370192328811614e-06,0.0,2.370192328811614e-06
50,124,3.461659408973827e-06,0.0,3.461659408973827e-06
50,125,5.012218253490737e-06,5e-06,1.2218253490736693e-08
50,126,7.195474757093113e-06,1e-05,2.8045252429068876e-06
50,127,1.0242601208911849e-05,5e-06,5.2426012089118485e-06
50,128,1.4458341772715102e-05,1.5e-05,5.416582272848983e-07
50,129,2.0240388960247792e-05,5e-06,1.5240388960247792e-05
50,130,2.81024898955442e-05,4.5e-05,1.6897510104455804e-05
50,131,3.870156339956449e-05,3.5e-05,3.7015633995644934e-06
50,132,5.286898358676792e-05,3.5e-05,1.786898358676792e-05
50,133,7.164600447711114e-05,5e-05,2.1646004477111142e-05
50,134,9.632305632208071e-05,9.5e-05,1.3230563220807077e-06
50,135,0.00012848233378648296,0.000125,3.4823337864829554e-06
50,136,0.00017004271856230056,0.00022,4.995728143769945e-05
50,137,0.00022330563933575594,0.00024,1.6694360664244062e-05
50,138,0.0002909999816091995,0.000325,3.4000018390800506e-05
50,139,0.00037632363745071257,0.000405,2.8676362549287407e-05
50,140,0.00048297875764174633,0.000555,7.202124235825371e-05
50,141,0.0006151972709364402,0.00058,3.5197270936440216e-05
50,142,0.0007777528098312548,0.000675,0.0001027528098312548
50,143,0.0009759548780832199,0.000985,9.045121916780117e-06
50,144,0.001215620964643387,0.001245,2.9379035356612987e-05
50,145,0.001503022404497239,0.001415,8.802240449723897e-05
50,146,0.0018448001580926836,0.00173,0.00011480015809268366
50,147,0.0022478473678195386,0.00226,1.2152632180461274e-05
50,148,0.0027191565786067874,0.00275,3.084342139321244e-05
50,149,0.003265630887110265,0.0031,0.00016563088711026496
50,150,0.003893859993219572,0.003785,0.0001088599932195719
50,151,0.004609864124211587,0.004635,2.513587578841306e-05
50,152,0.005418811011785434,0.00555,0.00013118898821456657
50,153,0.006324713422041679,0.00658,0.0002552865779583205
50,154,0.007330117038174955,0.007145,0.00018511703817495478
50,155,0.008435790623981062,0.008225,0.0002107906239810619
50,156,0.009640432188932076,0.009555,8.543218893207645e-05
50,157,0.010940406165777886,0.01096,1.9593834222113304e-05
50,158,0.012329527242603135,0.012765,0.00043547275739686496
50,159,0.013798906329663567,0.013155,0.0006439063296635669
50,160,0.015336873090675844,0.0152,0.00013687309067584447
50,161,0.016928987481129473,0.0167,0.000228987481129473
50,162,0.018558149823984613,0.018425,0.00013314982398461225
50,163,0.02020481519200526,0.020255,5.018480799473882e-05
50,164,0.021847313398449933,0.02242,0.000572686601550066
50,165,0.023462270928953855,0.023255,0.0002072709289538538
50,166,0.025025125935616708,0.025095,6.987406438329138e-05
50,167,0.026510722257038648,0.026455,5.5722257038648415e-05
50,168,0.027893963643163926,0.02868,0.000786036356836075
50,169,0.02915050526770112,0.02903,0.00012050526770111814
50,170,0.03025745649528768,0.03053,0.00027254350471232064
50,171,0.031194066979600282,0.031625,0.00043093302039971804
50,172,0.03194236767841757,0.03218,0.00023763232158242886
50,173,0.03248773937416576,0.03229,0.0001977393741657632
50,174,0.03281938378113695,0.03251,0.00030938378113695014
50,175,0.03293067620289252,0.033415,0.000484323797107479
50,176,0.032819383781136954,0.03323,0.0004106162188630483
50,177,0.03248773937416577,0.032515,2.7260625834232832e-05
50,178,0.03194236767841757,0.031435,0.0005073676784175737
50,179,0.03119406697960028,0.031485,0.00029093302039972027
50,180,0.03025745649528768,0.03074,0.000482543504712319
50,181,0.029150505267701125,0.02928,0.00012949473229887515
50,182,0.02789396364316393,0.02729,0.0006039636431639309
50,183,0.026510722257038655,0.026,0.0005107222570386559
50,184,0.02502512593561672,0.02536,0.0003348740643832823
50,185,0.023462270928953866,0.023295,0.00016727092895386583
50,186,0.021847313398449943,0.021265,0.0005823133984499441
50,187,0.020204815192005263,0.02072,0.0005151848079947355
50,188,0.018558149823984616,0.018395,0.0001631498239846145
50,189,0.01692898748112948,0.017115,0.00018601251887051876
50,190,0.01533687309067585,0.015685,0.0003481269093241514
50,191,0.013798906329663574,0.013235,0.0005639063296635737
50,192,0.012329527242603142,0.01211,0.00021952724260314305
50,193,0.01094040616577789,0.0112,0.00025959383422211046
50,194,0.009640432188932081,0.009425,0.00021543218893208156
50,195,0.008435790623981067,0.008245,0.00019079062398106618
50,196,0.007330117038174959,0.00711,0.00022011703817495943
50,197,0.006324713422041684,0.00628,4.471342204168376e-05
50,198,0.005418811011785437,0.005585,0.00016618898821456254
50,199,0.004609864124211591,0.0047,9.013587578840954e-05
50,200,0.003893859993219576,0.00379,0.00010385999321957601
50,201,0.0032656308871102675,0.003015,0.0002506308871102676
50,202,0.0027191565786067896,0.00275,3.084342139321027e-05
50,203,0.0022478473678195403,0.002185,6.284736781954044e-05
50,204,0.001844800158092685,0.00192,7.51998419073151e-05
50,205,0.0015030224044972403,0.001765,0.0002619775955027598
50,206,0.0012156209646433881,0.001275,5.937903535661198e-05
50,207,0.0009759548780832207,0.000915,6.095487808322072e-05
50,208,0.0007777528098312554,0.000765,1.275280983125543e-05
50,209,0.0006151972709364407,0.00061,5.19727093644068e-06
50,210,0.0004829787576417469,0.00047,1.297875764174689e-05
50,211,0.000376323637450713,0.000355,2.1323637450712995e-05
50,212,0.00029099998160919975,0.000275,1.5999981609199734e-05
50,213,0.00022330563933575616,0.000175,4.830563933575616e-05
