horizon,lambda,k,p_path_count,p_empirical,p_rare_event_pmf,abs_diff_emp_vs_pc,abs_diff_pc_vs_rare
100,1.0,0,0.36603234127322914,0.36531,0.36787944117144233,0.0007223412732291212,0.0018470998982131892
100,1.0,1,0.3697296376497195,0.36925,0.36787944117144233,0.00047963764971947764,0.0018501964782771663
100,1.0,2,0.18486481882485242,0.185185,0.18393972058572122,0.00032018117514756583,0.0009250982391312002
100,1.0,3,0.0609991658075284,0.061645,0.061313240195240364,0.0006458341924715991,0.0003140743877119642
100,1.0,4,0.014941714856894656,0.01492,0.015328310048810101,2.1714856894656728e-05,0.00038659519191544534
100,1.0,5,0.002897787123761609,0.003145,0.0030656620097620174,0.000247212876238391,0.0001678748860004086
100,1.0,6,0.0004634508026217648,0.000475,0.0005109436682936693,1.1549197378235196e-05,4.749286567190455e-05
100,1.0,7,6.286345663267816e-05,6.5e-05,7.299195261338139e-05,2.1365433673218345e-06,1.0128495980703226e-05
100,1.0,8,7.381693771261917e-06,5e-06,9.123994076672687e-06,2.381693771261917e-06,1.7423003054107694e-06
100,1.0,9,7.621950919820741e-07,0.0,1.0137771196302997e-06,7.621950919820741e-07,2.515820276482256e-07
100,1.0,10,7.006035693976762e-08,0.0,1.0137771196302987e-07,7.006035693976762e-08,3.1317355023262244e-08
100,1.0,11,5.7901121437828644e-09,0.0,9.216155633002698e-09,5.7901121437828644e-09,3.4260434892198334e-09
100,1.0,12,4.3377102760660695e-10,0.0,7.680129694168931e-10,4.3377102760660695e-10,3.3424194181028615e-10
100,1.0,13,2.9659557443188806e-11,0.0,5.907792072437641e-11,2.9659557443188806e-11,2.941836328118761e-11
100,1.0,14,1.861747112234704e-12,0.0,4.219851480312585e-12,1.861747112234704e-12,2.3581043680778815e-12
100,1.0,15,1.078183512809385e-13,0.0,2.813234320208399e-13,1.078183512809385e-13,1.735050807399014e-13
100,1.0,16,5.785706981615612e-15,0.0,1.7582714501302488e-14,5.785706981615612e-15,1.1797007519686876e-14
100,1.0,17,2.8876968892200255e-16,0.0,1.0342773236060258e-15,2.8876968892200255e-16,7.455076346840232e-16
100,1.0,18,1.3449991122630474e-17,0.0,5.745985131144604e-17,1.3449991122630474e-17,4.400986018881557e-17
100,1.0,19,5.863366677595029e-19,0.0,3.0242027006024186e-18,5.863366677595029e-19,2.4378660328429157e-18
