dgp,horizon,nominal_coverage,empirical_coverage_gaussian,empirical_coverage_substrate,median_width_gaussian,median_width_substrate,n_test_positions,mu_hat_step,sigma_hat_step
Gaussian,1,0.9,0.896,0.901,3.281120159369534,3.3181568898068052,10000,0.0019857927361550246,0.9973897086060709
Gaussian,1,0.95,0.9499,0.9536,3.9096958148375953,3.96735867249667,10000,0.0019857927361550246,0.9973897086060709
Gaussian,1,0.99,0.9918,0.9941,5.138211276971229,5.302015969149169,10000,0.0019857927361550246,0.9973897086060709
Gaussian,5,0.9,0.9013,0.9052,7.336807718695222,7.445581503782177,10000,0.0019857927361550246,0.9973897086060709
Gaussian,5,0.95,0.9513,0.9571,8.742345613323295,8.94622695804382,10000,0.0019857927361550246,0.9973897086060709
Gaussian,5,0.99,0.9904,0.9883,11.489389698063668,11.222662162312961,10000,0.0019857927361550246,0.9973897086060709
Gaussian,22,0.9,0.8965,0.9033,15.389817705381226,15.678597774269054,10000,0.0019857927361550246,0.9973897086060709
Gaussian,22,0.95,0.9475,0.9501,18.338098866029963,18.62347682380524,10000,0.0019857927361550246,0.9973897086060709
Gaussian,22,0.99,0.9889,0.9912,24.10034715080832,24.850745143308643,10000,0.0019857927361550246,0.9973897086060709
t_3,1,0.9,0.9316,0.9012,5.640618590970238,4.764963405854951,10000,-0.0035780083735245717,1.7146263042944472
t_3,1,0.95,0.9542,0.9507,6.721211606724262,6.48493624627875,10000,-0.0035780083735245717,1.7146263042944472
t_3,1,0.99,0.979,0.9912,8.833169358474775,12.365914647167884,10000,-0.0035780083735245717,1.7146263042944472
t_3,5,0.9,0.9194,0.8963,12.612806604558534,11.569414670277613,10000,-0.0035780083735245717,1.7146263042944472
t_3,5,0.95,0.9532,0.9477,15.029086043796033,14.545790322647077,10000,-0.0035780083735245717,1.7146263042944472
t_3,5,0.99,0.9802,0.9895,19.751567142317807,23.32310854745095,10000,-0.0035780083735245717,1.7146263042944472
t_3,22,0.9,0.9073,0.9013,26.45684633423983,25.960398168516313,10000,-0.0035780083735245717,1.7146263042944472
t_3,22,0.95,0.9488,0.9508,31.525276845287635,31.95918506025683,10000,-0.0035780083735245717,1.7146263042944472
t_3,22,0.99,0.984,0.9908,41.4312367681795,47.15188693558621,10000,-0.0035780083735245717,1.7146263042944472
stable_alpha_1_5,1,0.9,0.9817,0.9041,15.573940949390925,6.170272470272835,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,1,0.95,0.9861,0.9529,18.5574952433505,9.156219897075601,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,1,0.99,0.9908,0.9921,24.388682866286953,27.58061826980677,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,5,0.9,0.9692,0.9024,34.824390640405724,18.177378673100804,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,5,0.95,0.978,0.9438,41.49582085626072,24.733435050704507,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,5,0.99,0.9857,0.9865,54.53475277070204,56.496095080666734,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,22,0.9,0.9541,0.8909,73.04825807158267,45.393057080655396,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,22,0.95,0.9661,0.9429,87.04236815225951,64.7102534724816,10000,-0.028768385263234515,4.734141899986341
stable_alpha_1_5,22,0.99,0.9775,0.9872,114.39306247736798,165.11316885446766,10000,-0.028768385263234515,4.734141899986341
Cauchy,1,0.9,0.9964,0.899,411.92659230899045,12.213874177487073,10000,-1.260206380124497,125.21679302019243
Cauchy,1,0.95,0.9969,0.9514,490.84080915836705,25.486340033189357,10000,-1.260206380124497,125.21679302019243
Cauchy,1,0.99,0.9977,0.989,645.0741695156577,132.4088130761935,10000,-1.260206380124497,125.21679302019243
Cauchy,5,0.9,0.994,0.8937,921.0958621427447,58.9482226204009,10000,-1.260206380124497,125.21679302019243
Cauchy,5,0.95,0.9943,0.9406,1097.5534154091101,107.60713078657761,10000,-1.260206380124497,125.21679302019243
Cauchy,5,0.99,0.9953,0.9923,1442.4296935662333,737.1987970386253,10000,-1.260206380124497,125.21679302019243
Cauchy,22,0.9,0.984,0.9013,1932.1069804564497,293.18081968481056,10000,-1.260206380124497,125.21679302019243
Cauchy,22,0.95,0.986,0.9577,2302.247466840889,679.6620817472435,10000,-1.260206380124497,125.21679302019243
Cauchy,22,0.99,0.9896,0.9923,3025.6660509512512,4035.6201126692467,10000,-1.260206380124497,125.21679302019243
